:@computed_region_5kre_ccpb,:@computed_region_gwq4_fjxs,:@computed_region_s6p5_2pgr,crimecode,crimedate,crimetime,description,district,inside_outside,latitude,location,location_1,location_1_address,location_1_city,location_1_state,location_1_zip,longitude,neighborhood,post,premise,total_incidents,weapon
9,119,27935,3AF,2017-09-26T00:00:00.000,23:00:00,ROBBERY - STREET,SOUTHEASTERN,O,39.29361,100 N DECKER AVE,POINT (-76.57417 39.29361),,,,,-76.57417,Patterson Park Neighborho,222,STREET,1,FIREARM
90,136,27935,6C,2017-09-28T00:00:00.000,1:20:00,LARCENY,SOUTHEASTERN,I,39.28099,4800 O''DONNELL ST,POINT (-76.5547 39.28099),,,,,-76.5547,Greektown,242,RETAIL/SMA,1,
164,45,27297,4B,2017-09-29T00:00:00.000,16:32:00,AGG. ASSAULT,NORTHWESTERN,O,39.3141,3400 GWYNNS FALLS PKWY,POINT (-76.67494 39.3141),,,,,-76.67494,Mount Holly,812,STREET,1,KNIFE
164,45,27297,4B,2017-09-29T00:00:00.000,16:32:00,AGG. ASSAULT,NORTHWESTERN,O,39.3141,3400 GWYNNS FALLS PKWY,POINT (-76.67494 39.3141),,,,,-76.67494,Mount Holly,812,STREET,1,KNIFE
164,45,27297,4B,2017-09-29T00:00:00.000,16:32:00,AGG. ASSAULT,NORTHWESTERN,O,39.3141,3400 GWYNNS FALLS PKWY,POINT (-76.67494 39.3141),,,,,-76.67494,Mount Holly,812,STREET,1,KNIFE
277,34,27307,5D,2017-09-22T00:00:00.000,18:00:00,BURGLARY,NORTHERN,O,39.32288,2800 GUILFORD AVE,POINT (-76.61321 39.32288),,,,,-76.61321,Charles Village,512,SHED/GARAG,1,
17,130,27935,6C,2017-09-28T00:00:00.000,1:37:00,LARCENY,SOUTHEASTERN,I,39.28561,3700 FLEET ST,POINT (-76.56604 39.28561),,,,,-76.56604,Brewers Hill,233,CONVENIENC,1,
210,17,27301,4C,2017-09-30T00:00:00.000,23:25:00,AGG. ASSAULT,CENTRAL,O,39.31366,2200 BROOKFIELD AVE,POINT (-76.63373 39.31366),,,,,-76.63373,Reservoir Hill,133,STREET,1,OTHER
84,10,27632,6E,2017-09-26T00:00:00.000,21:30:00,LARCENY,WESTERN,,39.29267,300 N GILMOR ST,POINT (-76.64265 39.29267),,,,,-76.64265,Franklin Square,711,,1,
60,242,27295,5A,2017-09-26T00:00:00.000,12:00:00,BURGLARY,NORTHERN,I,39.34973,2800 W GARRISON AVE,POINT (-76.66809 39.34973),,,,,-76.66809,Cylburn,532,ROW/TOWNHO,1,
32,178,27953,4E,2016-11-17T00:00:00.000,2:15:00,COMMON ASSAULT,SOUTHERN,I,39.27408,1500 RUSSELL ST,POINT (-76.62769 39.27408),,,,,-76.62769,Carroll - Camden Industri,941,OTHER - IN,1,HANDS
93,225,27291,4D,2017-09-21T00:00:00.000,21:23:00,AGG. ASSAULT,NORTHEASTERN,I,39.35474,5900 SEFTON AVE,POINT (-76.55215 39.35474),,,,,-76.55215,Glenham-Belhar,425,ROW/TOWNHO,1,HANDS
48,245,27295,6D,2017-09-23T00:00:00.000,12:00:00,LARCENY FROM AUTO,NORTHWESTERN,,39.35976,3900 CLARINTH RD,POINT (-76.70474 39.35976),,,,,-76.70474,Fallstaff,631,,1,
23,277,26956,5A,2017-09-24T00:00:00.000,16:00:00,BURGLARY,EASTERN,I,39.31113,2400 E LAFAYETTE AVE,POINT (-76.58354 39.31113),,,,,-76.58354,Broadway East,331,ROW/TOWNHO,1,
36,279,27632,5A,2017-09-25T00:00:00.000,8:50:00,BURGLARY,SOUTHERN,I,39.28459,200 S PAYSON ST,POINT (-76.64851 39.28459),,,,,-76.64851,Carrollton Ridge,934,ROW/TOWNHO,1,
6,145,13987,4C,2017-09-24T00:00:00.000,14:45:00,AGG. ASSAULT,NORTHEASTERN,I,39.3065,5000 WRIGHT AVE,POINT (-76.55616 39.3065),,,,,-76.55616,Armistead Gardens,433,ROW/TOWNHO,1,OTHER
269,284,27950,3K,2017-09-22T00:00:00.000,14:00:00,ROBBERY - RESIDENCE,SOUTHWESTERN,,39.2954,700 ALLENDALE ST,POINT (-76.6785 39.2954),,,,,-76.6785,Edgewood,844,,1,
242,90,27301,4B,2017-09-23T00:00:00.000,21:30:00,AGG. ASSAULT,CENTRAL,O,39.29845,1200 MYRTLE AVE,POINT (-76.63197 39.29845),,,,,-76.63197,Upton,123,STREET,1,KNIFE
275,196,26956,3K,2017-09-27T00:00:00.000,19:30:00,ROBBERY - RESIDENCE,NORTHEASTERN,I,39.31443,4100 EASTMONT AVE,POINT (-76.56375 39.31443),,,,,-76.56375,Belair-Edison,432,ROW/TOWNHO,1,
232,283,27295,4E,2017-09-27T00:00:00.000,0:44:00,COMMON ASSAULT,NORTHWESTERN,I,39.33819,4300 REISTERSTOWN RD,POINT (-76.66742 39.33819),,,,,-76.66742,Towanda-Grantley,613,ROW/TOWNHO,1,HANDS
76,278,27950,6D,2017-09-28T00:00:00.000,19:30:00,LARCENY FROM AUTO,SOUTHWESTERN,,39.29991,1100 LYNDHURST ST,POINT (-76.68156 39.29991),,,,,-76.68156,Edmondson Village,844,,1,
268,164,27632,5A,2017-09-29T00:00:00.000,7:59:00,BURGLARY,SOUTHWESTERN,I,39.27429,900 DESOTO RD,POINT (-76.66745 39.27429),,,,,-76.66745,Wilhelm Park,832,ROW/TOWNHO,1,
146,191,26956,5A,2016-11-16T00:00:00.000,7:00:00,BURGLARY,NORTHEASTERN,I,39.32664,2400 MAYFIELD,POINT (-76.57826 39.32664),,,,,-76.57826,Mayfield,431,OTHER/RESI,1,
84,10,27632,7A,2017-09-27T00:00:00.000,20:00:00,AUTO THEFT,WESTERN,I,39.28968,1500 W FAYETTE ST,POINT (-76.64156 39.28968),,,,,-76.64156,Franklin Square,711,APT/CONDO,1,
203,139,27935,4E,2017-04-16T00:00:00.000,23:50:00,COMMON ASSAULT,SOUTHEASTERN,O,39.28709,4800 EASTERN AVE,POINT (-76.55567 39.28709),,,,,-76.55567,Pulaski Industrial Area,242,STREET,1,HANDS
268,164,27632,4F,2017-09-27T00:00:00.000,21:55:00,ASSAULT BY THREAT,SOUTHWESTERN,O,39.27337,1000 PARKSLEY AVE,POINT (-76.66321 39.27337),,,,,-76.66321,Wilhelm Park,832,PORCH/DECK,1,
